,Monthly Nominal GDP Index,Monthly Real GDP Index
1992 - Jan,6315.522893,9485.743414
1992 - Feb,6356.726995,9528.069786
1992 - Mar,6417.056111,9606.300557
1992 - Apr,6443.171182,9612.356062
1992 - May,6433.783856,9594.443772
1992 - Jun,6535.333962,9723.592799
1992 - Jul,6557.164597,9739.981584
1992 - Aug,6556.862251,9721.200778
1992 - Sep,6585.896153,9755.117249
1992 - Oct,6637.500543,9809.931577
1992 - Nov,6680.168998,9837.406785
1992 - Dec,6724.73946,9873.542562
1993 - Jan,6717.90893,9858.767618
1993 - Feb,6741.540676,9874.201214
1993 - Mar,6728.927394,9837.182352
1993 - Apr,6768.197341,9875.972189
1993 - May,6824.218052,9934.591339
1993 - Jun,6834.401607,9931.682001
1993 - Jul,6832.717523,9909.539316
1993 - Aug,6874.015858,9949.103625
1993 - Sep,6939.560619,10025.51633
1993 - Oct,6944.387763,10022.41051
1993 - Nov,7035.958781,10120.79895
1993 - Dec,7060.867456,10147.4435
1994 - Jan,7074.335658,10145.86099
1994 - Feb,7122.980605,10202.477
1994 - Mar,7149.639737,10236.24041
1994 - Apr,7186.403821,10270.76959
1994 - May,7290.283409,10369.58094
1994 - Jun,7264.10577,10358.6425
1994 - Jul,7299.060793,10361.51634
1994 - Aug,7351.81669,10432.19365
1994 - Sep,7342.347518,10386.65652
1994 - Oct,7429.298641,10482.10316
1994 - Nov,7431.612835,10475.35022
1994 - Dec,7504.952524,10580.40281
1995 - Jan,7542.143177,10582.84788
1995 - Feb,7488.409964,10506.48446
1995 - Mar,7536.313859,10560.6723
1995 - Apr,7538.855662,10528.28479
1995 - May,7560.735294,10557.72656
1995 - Jun,7643.400044,10658.84208
1995 - Jul,7630.587117,10606.0656
1995 - Aug,7674.210771,10664.12403
1995 - Sep,7744.577111,10744.84486
1995 - Oct,7747.377077,10698.7834
1995 - Nov,7747.731886,10717.29858
1995 - Dec,7822.649037,10816.8602
1996 - Jan,7840.014158,10794.20429
1996 - Feb,7852.943637,10811.2379
1996 - Mar,7912.446205,10869.61794
1996 - Apr,8025.489126,11013.51985
1996 - May,8009.307116,10976.7998
1996 - Jun,8063.723759,11026.3559
1996 - Jul,8099.455031,11067.61183
1996 - Aug,8122.968631,11099.87264
1996 - Sep,8171.800338,11144.85848
1996 - Oct,8250.629684,11219.05947
1996 - Nov,8281.932417,11241.53223
1996 - Dec,8246.750899,11197.57844
1997 - Jan,8309.319351,11263.77638
1997 - Feb,8385.533083,11343.19574
1997 - Mar,8393.112566,11268.42982
1997 - Apr,8511.563089,11518.993
1997 - May,8476.500662,11409.22362
1997 - Jun,8568.411249,11510.1446
1997 - Jul,8620.439469,11602.35081
1997 - Aug,8655.703332,11632.48601
1997 - Sep,8712.326199,11634.26879
1997 - Oct,8748.227398,11708.71972
1997 - Nov,8736.63481,11684.54691
1997 - Dec,8812.858792,11775.22595
1998 - Jan,8772.519629,11713.45716
1998 - Feb,8894.517541,11886.14322
1998 - Mar,8932.402831,11920.27708
1998 - Apr,8925.418348,11894.78408
1998 - May,8953.446507,11925.7514
1998 - Jun,9030.232145,12027.99079
1998 - Jul,9049.88051,12003.36787
1998 - Aug,9100.659661,12065.62433
1998 - Sep,9212.750828,12228.39184
1998 - Oct,9266.934769,12270.90533
1998 - Nov,9307.386876,12320.77898
1998 - Dec,9307.651355,12292.29859
1999 - Jan,9357.414357,12325.67994
1999 - Feb,9410.999476,12419.52886
1999 - Mar,9466.632167,12486.95042
1999 - Apr,9496.86839,12486.47121
1999 - May,9534.528279,12526.17107
1999 - Jun,9547.233331,12530.5041
1999 - Jul,9660.548171,12642.64893
1999 - Aug,9660.832884,12676.97506
1999 - Sep,9738.496945,12720.13404
1999 - Oct,9814.125754,12781.31023
1999 - Nov,9891.421304,12873.70246
1999 - Dec,9994.959942,13009.27629
2000 - Jan,9921.526978,12870.47162
2000 - Feb,9999.826207,12934.38121
2000 - Mar,10085.18381,13000.50928
2000 - Apr,10226.02525,13173.13041
2000 - May,10229.00346,13149.18201
2000 - Jun,10288.13129,13189.36127
2000 - Jul,10235.40253,13103.12198
2000 - Aug,10335.79465,13207.38479
2000 - Sep,10383.29782,13240.35961
2000 - Oct,10424.95399,13265.14799
2000 - Nov,10447.11661,13266.46375
2000 - Dec,10435.16141,13254.90556
2001 - Jan,10466.40346,13246.10119
2001 - Feb,10463.16034,13220.26863
2001 - Mar,10481.1292,13191.54698
2001 - Apr,10565.25321,13291.40551
2001 - May,10640.26002,13352.68444
2001 - Jun,10591.48677,13260.35831
2001 - Jul,10585.51481,13219.12559
2001 - Aug,10699.23795,13371.47661
2001 - Sep,10509.30724,13154.00008
2001 - Oct,10638.9329,13264.20052
2001 - Nov,10587.35549,13195.55455
2001 - Dec,10755.10661,13395.38971
2002 - Jan,10787.21053,13430.53532
2002 - Feb,10748.47536,13344.50167
2002 - Mar,10814.81411,13410.27107
2002 - Apr,10859.0651,13462.21538
